"taxon","mean_a","mean_b","log2FC","prevalence_a","prevalence_b","p","fdr","vs"
"Clostridium colinum",0.002535,0.0003657,-2.79,0.444,0.056,0.009319,0.718,"IBS_before_great vs IBS_before_poor"
"unclassified f:Clostridiaceae",0.00289,0.0005297,-2.446,0.556,0.167,0.01056,0.718,"IBS_before_great vs IBS_before_poor"
"Blautia",0.01626,0.007397,-1.136,0.833,0.5,0.02403,0.9052,"IBS_before_great vs IBS_before_poor"
"Desulfovibrio C21_c20",0.001253,0.0002454,-2.348,0.389,0.056,0.02662,0.9052,"IBS_before_great vs IBS_before_poor"
"Lactobacillus salivarius",0,0.0005951,9.219,0,0.222,0.03958,0.9429,"IBS_before_great vs IBS_before_poor"
"unclassified c:TM7-3",0.0005721,5.405e-05,-3.38,0.333,0.056,0.0416,0.9429,"IBS_before_great vs IBS_before_poor"
"Turicibacter",0.002593,0.0004853,-2.415,0.389,0.111,0.06413,1,"IBS_before_great vs IBS_before_poor"
"Alistipes putredinis",0.006765,0.002701,-1.324,0.389,0.111,0.08426,1,"IBS_before_great vs IBS_before_poor"
"Lactobacillus helveticus",0.0003822,0.002285,2.577,0.111,0.333,0.09421,1,"IBS_before_great vs IBS_before_poor"
"Coprococcus eutactus",0.0008652,0.004081,2.236,0.111,0.333,0.09421,1,"IBS_before_great vs IBS_before_poor"
"Clostridium",0.01231,0.006365,-0.952,0.722,0.5,0.09631,1,"IBS_before_great vs IBS_before_poor"
"Streptococcus",0.02588,0.01966,-0.397,0.889,0.556,0.1063,1,"IBS_before_great vs IBS_before_poor"
"__ __.12",0.003865,0.001243,-1.636,0.389,0.167,0.1492,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Chitinophagaceae",0.000773,0.000417,-0.889,0.333,0.111,0.1577,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium animalis",0,4.03e-05,5.368,0,0.111,0.1632,1,"IBS_before_great vs IBS_before_poor"
"__ __.9",0.0005216,0.0001685,-1.624,0.222,0.056,0.1633,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides uniformis",0.0108,0.007742,-0.48,0.722,0.5,0.1708,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:S24-7",0.0005418,0.001081,0.996,0.333,0.556,0.1809,1,"IBS_before_great vs IBS_before_poor"
"Ruminococcus __",0.0003979,0.007751,4.28,0.111,0.278,0.1919,1,"IBS_before_great vs IBS_before_poor"
"Acinetobacter rhizosphaerae",0.001193,0.0003003,-1.987,0.278,0.111,0.1919,1,"IBS_before_great vs IBS_before_poor"
"Granulicatella",0.003363,0.002025,-0.731,0.556,0.333,0.1925,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides plebeius",0.003105,0.01186,1.933,0.389,0.556,0.199,1,"IBS_before_great vs IBS_before_poor"
"Catenibacterium",0.005109,0.0174,1.767,0.111,0.278,0.225,1,"IBS_before_great vs IBS_before_poor"
"Roseburia __",0.01279,0.02325,0.863,0.667,0.833,0.2577,1,"IBS_before_great vs IBS_before_poor"
"Collinsella aerofaciens",0.01036,0.004,-1.373,0.5,0.333,0.2657,1,"IBS_before_great vs IBS_before_poor"
"Phascolarctobacterium",0.009959,0.008981,-0.149,0.667,0.444,0.2672,1,"IBS_before_great vs IBS_before_poor"
"__ __.4",0.001052,7.371e-05,-3.817,0.167,0.056,0.2707,1,"IBS_before_great vs IBS_before_poor"
"Hydrogenophaga palleronii",0.004205,0.002182,-0.946,0.444,0.278,0.2778,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Gemellaceae",0.0003154,0.0004627,0.551,0.111,0.278,0.2819,1,"IBS_before_great vs IBS_before_poor"
"Clostridium citroniae",0.0006159,0.003036,2.3,0.111,0.222,0.2948,1,"IBS_before_great vs IBS_before_poor"
"__ __.11",0.0003847,0.0001328,-1.527,0.167,0.056,0.2967,1,"IBS_before_great vs IBS_before_poor"
"Lactobacillus",0.004743,0.003175,-0.579,0.722,0.556,0.323,1,"IBS_before_great vs IBS_before_poor"
"Faecalibacterium __",3.699e-05,6.51e-05,0.799,0.056,0.167,0.3243,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium breve",0.001184,0.0007931,-0.577,0.333,0.167,0.3283,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides __",0.006417,0.01483,1.209,0.778,0.722,0.3308,1,"IBS_before_great vs IBS_before_poor"
"Dorea",0.005986,0.0106,0.824,0.556,0.611,0.3326,1,"IBS_before_great vs IBS_before_poor"
"Rothia mucilaginosa",0.002926,0.002564,-0.191,0.667,0.389,0.3405,1,"IBS_before_great vs IBS_before_poor"
"Lactobacillus zeae",0,3.931e-05,5.333,0,0.056,0.3449,1,"IBS_before_great vs IBS_before_poor"
"Lactobacillus reuteri",0,0.0002378,7.9,0,0.056,0.3449,1,"IBS_before_great vs IBS_before_poor"
"Lactobacillus mucosae",0,2.13e-05,4.479,0,0.056,0.3449,1,"IBS_before_great vs IBS_before_poor"
"[Ruminococcus] torques",0.002487,0.00169,-0.558,0.333,0.167,0.3493,1,"IBS_before_great vs IBS_before_poor"
"Clostridium neonatale",0.0004831,0.0002896,-0.736,0.167,0.056,0.3536,1,"IBS_before_great vs IBS_before_poor"
"Holdemania",0.0003357,0.0003195,-0.071,0.167,0.056,0.3536,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides fragilis",0.002934,0.00794,1.436,0.611,0.389,0.3612,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Caulobacteraceae",0.002632,0.001633,-0.689,0.444,0.278,0.3674,1,"IBS_before_great vs IBS_before_poor"
"__ __.2",0.02195,0.01778,-0.304,0.944,0.944,0.3757,1,"IBS_before_great vs IBS_before_poor"
"Sphingomonas yabuuchiae",0.001615,0.001053,-0.617,0.389,0.222,0.3828,1,"IBS_before_great vs IBS_before_poor"
"Lachnospira",0.007735,0.01127,0.543,0.722,0.444,0.3841,1,"IBS_before_great vs IBS_before_poor"
"Dorea formicigenerans",0.005068,0.006913,0.448,0.556,0.611,0.3841,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Peptostreptococcaceae",0.004781,0.001074,-2.154,0.222,0.111,0.3938,1,"IBS_before_great vs IBS_before_poor"
"Actinomyces",0.00542,0.008058,0.572,0.778,0.778,0.3992,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Lachnospiraceae",0.01664,0.02649,0.671,0.722,0.889,0.4001,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Desulfovibrionaceae",0.001086,0.0007606,-0.513,0.444,0.278,0.4078,1,"IBS_before_great vs IBS_before_poor"
"Veillonella",0.007077,0.0007941,-3.154,0.333,0.222,0.4114,1,"IBS_before_great vs IBS_before_poor"
"Akkermansia muciniphila",0.006338,0.01438,1.182,0.722,0.5,0.415,1,"IBS_before_great vs IBS_before_poor"
"Pseudomonas viridiflava",0.005145,0.00371,-0.472,0.556,0.444,0.4268,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides",0.02644,0.0297,0.168,0.889,0.778,0.4372,1,"IBS_before_great vs IBS_before_poor"
"Eggerthella lenta",0.0009477,0.001018,0.103,0.222,0.333,0.4586,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium",0.05117,0.02931,-0.804,0.778,0.667,0.4718,1,"IBS_before_great vs IBS_before_poor"
"Dorea longicatena",0.001605,0.002339,0.543,0.278,0.389,0.4737,1,"IBS_before_great vs IBS_before_poor"
"Pseudomonas __",0.0006823,0.0006904,0.017,0.222,0.111,0.4798,1,"IBS_before_great vs IBS_before_poor"
"Streptococcus __",0.002219,0.003067,0.467,0.5,0.278,0.4939,1,"IBS_before_great vs IBS_before_poor"
"Anaerostipes",0.00251,0.001755,-0.516,0.333,0.222,0.5086,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Rikenellaceae",0.003539,0.004642,0.391,0.278,0.444,0.5197,1,"IBS_before_great vs IBS_before_poor"
"Hydrogenophaga __",0.0004834,7.549e-05,-2.663,0.111,0.056,0.5307,1,"IBS_before_great vs IBS_before_poor"
"Faecalibacterium prausnitzii",0.0389,0.03447,-0.174,0.833,0.667,0.5341,1,"IBS_before_great vs IBS_before_poor"
"Ruminococcus callidus",0.001811,0.00153,-0.244,0.333,0.222,0.5346,1,"IBS_before_great vs IBS_before_poor"
"Prevotella stercorea",0.0004549,0.004679,3.36,0.167,0.222,0.5365,1,"IBS_before_great vs IBS_before_poor"
"Caulobacter",0.002426,0.001338,-0.858,0.222,0.167,0.5365,1,"IBS_before_great vs IBS_before_poor"
"Brevundimonas __",0.002114,0.001406,-0.588,0.389,0.278,0.5463,1,"IBS_before_great vs IBS_before_poor"
"Megamonas",0.02608,0.03122,0.26,0.444,0.5,0.5489,1,"IBS_before_great vs IBS_before_poor"
"Roseburia",0.005226,0.00399,-0.389,0.444,0.333,0.5524,1,"IBS_before_great vs IBS_before_poor"
"__ __.3",6.624e-05,7.845e-05,0.241,0.167,0.278,0.572,1,"IBS_before_great vs IBS_before_poor"
"unclassified o:Clostridiales",0.006211,0.007405,0.254,0.778,0.556,0.5726,1,"IBS_before_great vs IBS_before_poor"
"Odoribacter",0.0007182,0.001491,1.053,0.278,0.333,0.5738,1,"IBS_before_great vs IBS_before_poor"
"__ __.5",4.903e-06,1.315e-05,1.261,0.056,0.111,0.5748,1,"IBS_before_great vs IBS_before_poor"
"Veillonella dispar",0.009747,0.01135,0.22,0.667,0.5,0.5879,1,"IBS_before_great vs IBS_before_poor"
"Coprococcus",0.006827,0.005711,-0.257,0.611,0.5,0.5962,1,"IBS_before_great vs IBS_before_poor"
"Atopobium",0.0001467,0.0005935,2.009,0.111,0.167,0.6172,1,"IBS_before_great vs IBS_before_poor"
"__ __.7",0.01194,0.01273,0.093,0.944,0.667,0.6226,1,"IBS_before_great vs IBS_before_poor"
"Blautia producta",0.002715,0.001218,-1.155,0.222,0.167,0.6307,1,"IBS_before_great vs IBS_before_poor"
"Paraprevotella",0.004827,0.002532,-0.931,0.278,0.222,0.6324,1,"IBS_before_great vs IBS_before_poor"
"Bilophila",0.003189,0.002219,-0.523,0.444,0.389,0.6334,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Ruminococcaceae",0.006463,0.005706,-0.18,0.722,0.667,0.6416,1,"IBS_before_great vs IBS_before_poor"
"Lactobacillus __",0.001412,0.001197,-0.239,0.389,0.333,0.6456,1,"IBS_before_great vs IBS_before_poor"
"CF231",0.0001539,0.0001934,0.327,0.111,0.167,0.6547,1,"IBS_before_great vs IBS_before_poor"
"__ __.10",7.581e-05,6.03e-05,-0.325,0.111,0.167,0.6547,1,"IBS_before_great vs IBS_before_poor"
"[Ruminococcus] gnavus",0.019,0.03442,0.857,0.722,0.667,0.6648,1,"IBS_before_great vs IBS_before_poor"
"Clostridium __",0.001279,0.002449,0.936,0.167,0.111,0.6932,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium longum",0.007827,0.01087,0.473,0.778,0.611,0.712,1,"IBS_before_great vs IBS_before_poor"
"Veillonella parvula",0.002231,0.002148,-0.055,0.333,0.278,0.7125,1,"IBS_before_great vs IBS_before_poor"
"Weissella __",0.001688,0.00288,0.77,0.222,0.278,0.7236,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Erysipelotrichaceae",0.009251,0.009379,0.02,0.611,0.556,0.7302,1,"IBS_before_great vs IBS_before_poor"
"Dialister",0.01266,0.03661,1.532,0.667,0.667,0.735,1,"IBS_before_great vs IBS_before_poor"
"Oscillospira",0.014,0.01398,-0.002,0.722,0.722,0.7735,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Christensenellaceae",0.002372,0.002507,0.08,0.222,0.278,0.7868,1,"IBS_before_great vs IBS_before_poor"
"Sutterella",0.007759,0.008822,0.185,0.833,0.722,0.7991,1,"IBS_before_great vs IBS_before_poor"
"Haemophilus parainfluenzae",0.007708,0.007753,0.008,0.556,0.444,0.7998,1,"IBS_before_great vs IBS_before_poor"
"Veillonella __",0.001539,0.00375,1.284,0.389,0.333,0.811,1,"IBS_before_great vs IBS_before_poor"
"unclassified o:Streptophyta",0.001106,0.001247,0.172,0.278,0.222,0.819,1,"IBS_before_great vs IBS_before_poor"
"Ruminococcus",0.009283,0.008255,-0.169,0.833,0.722,0.8486,1,"IBS_before_great vs IBS_before_poor"
"__ __.1",0.03199,0.04631,0.534,0.944,0.944,0.8494,1,"IBS_before_great vs IBS_before_poor"
"Prevotella copri",0.05512,0.02444,-1.173,0.444,0.556,0.8524,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:[Mogibacteriaceae]",0.0004689,0.0005144,0.133,0.389,0.333,0.8685,1,"IBS_before_great vs IBS_before_poor"
"[Ruminococcus]",0.006316,0.006164,-0.035,0.333,0.389,0.8685,1,"IBS_before_great vs IBS_before_poor"
"Parabacteroides distasonis",0.004806,0.004938,0.039,0.667,0.556,0.8833,1,"IBS_before_great vs IBS_before_poor"
"__ __.6",0.2252,0.1983,-0.184,1,0.944,0.8882,1,"IBS_before_great vs IBS_before_poor"
"Desulfovibrio",0.000945,0.0009784,0.05,0.333,0.278,0.892,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium __",0.0002492,0.0001389,-0.838,0.278,0.278,0.9043,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides caccae",0.002925,0.001641,-0.833,0.222,0.222,0.9135,1,"IBS_before_great vs IBS_before_poor"
"Parabacteroides",0.003244,0.003652,0.171,0.389,0.389,0.914,1,"IBS_before_great vs IBS_before_poor"
"__ __.8",3.662e-05,0.000286,2.932,0.167,0.167,0.9224,1,"IBS_before_great vs IBS_before_poor"
"Megasphaera",0.005226,0.005268,0.012,0.389,0.333,0.9267,1,"IBS_before_great vs IBS_before_poor"
"Butyricicoccus pullicaecorum",0.000508,0.001544,1.602,0.111,0.111,0.9307,1,"IBS_before_great vs IBS_before_poor"
"__ __",0.0002576,0.001527,2.563,0.444,0.444,0.9308,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides ovatus",0.008241,0.01574,0.934,0.611,0.556,0.9346,1,"IBS_before_great vs IBS_before_poor"
"Gemmiger formicilis",0.01148,0.01198,0.062,0.611,0.667,0.9354,1,"IBS_before_great vs IBS_before_poor"
"Fusobacterium",0.002482,0.002032,-0.288,0.278,0.278,0.9361,1,"IBS_before_great vs IBS_before_poor"
"Klebsiella __",0.002589,0.003355,0.374,0.278,0.278,0.9361,1,"IBS_before_great vs IBS_before_poor"
"Clostridium ramosum",0.001154,0.002473,1.099,0.278,0.222,0.9502,1,"IBS_before_great vs IBS_before_poor"
"[Eubacterium] dolichum",0.0003243,0.0001901,-0.768,0.167,0.167,0.9611,1,"IBS_before_great vs IBS_before_poor"
"Desulfovibrio D168",0.009368,0.002647,-1.823,0.167,0.167,0.9611,1,"IBS_before_great vs IBS_before_poor"
"[Eubacterium] biforme",0.001542,0.002618,0.763,0.167,0.167,0.9611,1,"IBS_before_great vs IBS_before_poor"
"Enterococcus",0.00183,0.00153,-0.259,0.278,0.278,0.968,1,"IBS_before_great vs IBS_before_poor"
"Bulleidia moorei",0.0001522,0.00011,-0.465,0.111,0.111,0.9769,1,"IBS_before_great vs IBS_before_poor"
"Clostridium spiroforme",0.0001386,0.0004005,1.524,0.056,0.056,1,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Coriobacteriaceae",0.0009082,0.00119,0.39,0.167,0.167,1,1,"IBS_before_great vs IBS_before_poor"
"Prevotella",1.033e-05,2.446e-05,1.168,0.056,0.056,1,1,"IBS_before_great vs IBS_before_poor"
"Butyricimonas",0.0004421,0.0003816,-0.212,0.167,0.167,1,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium adolescentis",0.04204,0.02634,-0.674,0.611,0.611,1,1,"IBS_before_great vs IBS_before_poor"
"Coprococcus catus",0.0002421,0.0005208,1.102,0.056,0.056,1,1,"IBS_before_great vs IBS_before_poor"
"Ruminococcus bromii",0.003656,0.008313,1.185,0.444,0.444,1,1,"IBS_before_great vs IBS_before_poor"
"Abiotrophia",8.107e-05,9.828e-05,0.275,0.056,0.056,1,1,"IBS_before_great vs IBS_before_poor"
"SMB53",0.0006629,8.79e-05,-2.901,0.056,0.056,1,1,"IBS_before_great vs IBS_before_poor"
"Blautia obeum",0.001235,0.001121,-0.139,0.167,0.167,1,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium bifidum",0.0006183,0.000976,0.658,0.167,0.167,1,1,"IBS_before_great vs IBS_before_poor"
"Veillonella",0,0.02602,14.668,0,0.231,0.05129,1,"UC_before_great vs UC_before_poor"
"unclassified o:Clostridiales",0.001308,0.006976,2.414,0.438,0.769,0.05609,1,"UC_before_great vs UC_before_poor"
"Akkermansia muciniphila",0.007758,0.002811,-1.464,0.75,0.538,0.07698,1,"UC_before_great vs UC_before_poor"
"unclassified f:[Mogibacteriaceae]",0.000258,0.0005051,0.967,0.125,0.462,0.07954,1,"UC_before_great vs UC_before_poor"
"__ __.2",0.008028,0.01421,0.824,0.688,1,0.09055,1,"UC_before_great vs UC_before_poor"
"Desulfovibrio",0.002175,0.000799,-1.444,0.562,0.231,0.1003,1,"UC_before_great vs UC_before_poor"
"Lactobacillus __",0.001511,0.01861,3.622,0.25,0.538,0.1024,1,"UC_before_great vs UC_before_poor"
"Prevotella",0.0005905,0.002864,2.276,0.125,0.385,0.1083,1,"UC_before_great vs UC_before_poor"
"Oscillospira",0.009124,0.01378,0.595,0.688,1,0.1086,1,"UC_before_great vs UC_before_poor"
"Abiotrophia",0.0003537,0,-8.47,0.188,0,0.1151,1,"UC_before_great vs UC_before_poor"
"Streptococcus",0.0232,0.01383,-0.746,0.938,0.769,0.16,1,"UC_before_great vs UC_before_poor"
"[Ruminococcus] gnavus",0.02133,0.03533,0.728,0.812,0.692,0.178,1,"UC_before_great vs UC_before_poor"
"Pseudomonas __",0.0009125,0.0002152,-2.079,0.25,0.077,0.194,1,"UC_before_great vs UC_before_poor"
"Odoribacter",9.922e-05,0.0004489,2.166,0.062,0.231,0.2006,1,"UC_before_great vs UC_before_poor"
"Faecalibacterium prausnitzii",0.03484,0.05453,0.646,0.75,0.923,0.2102,1,"UC_before_great vs UC_before_poor"
"Megamonas",0.002372,0.01788,2.913,0.375,0.615,0.2107,1,"UC_before_great vs UC_before_poor"
"Butyricimonas",0.0002952,0,-8.21,0.125,0,0.2122,1,"UC_before_great vs UC_before_poor"
"Holdemania",0.0003127,0,-8.293,0.125,0,0.2122,1,"UC_before_great vs UC_before_poor"
"Bacteroides __",0.02678,0.008518,-1.652,0.438,0.769,0.2194,1,"UC_before_great vs UC_before_poor"
"Megasphaera",0.003257,0.007956,1.288,0.312,0.462,0.2477,1,"UC_before_great vs UC_before_poor"
"unclassified c:TM7-3",0.0003509,8.833e-05,-1.978,0.25,0.077,0.2718,1,"UC_before_great vs UC_before_poor"
"Sutterella",0.01713,0.01068,-0.682,0.75,0.692,0.2776,1,"UC_before_great vs UC_before_poor"
"Desulfovibrio C21_c20",0.0006649,0.00101,0.603,0.188,0.385,0.2777,1,"UC_before_great vs UC_before_poor"
"Veillonella parvula",0.002748,0.001632,-0.752,0.375,0.154,0.2777,1,"UC_before_great vs UC_before_poor"
"__ __",0.0002152,0.0002717,0.335,0.25,0.462,0.2891,1,"UC_before_great vs UC_before_poor"
"Enterococcus",0.0496,0.004627,-3.422,0.625,0.385,0.2951,1,"UC_before_great vs UC_before_poor"
"Roseburia __",0.05008,0.02307,-1.118,0.625,0.769,0.2955,1,"UC_before_great vs UC_before_poor"
"Bifidobacterium animalis",0,0.000178,7.484,0,0.077,0.2983,1,"UC_before_great vs UC_before_poor"
"Hydrogenophaga __",0,8.281e-05,6.389,0,0.077,0.2983,1,"UC_before_great vs UC_before_poor"
"Bifidobacterium longum",0.01396,0.02377,0.768,0.812,1,0.3025,1,"UC_before_great vs UC_before_poor"
"Anaerostipes",0.001383,0.002264,0.71,0.188,0.385,0.3031,1,"UC_before_great vs UC_before_poor"
"unclassified f:Lachnospiraceae",0.01045,0.01714,0.713,0.5,0.692,0.3281,1,"UC_before_great vs UC_before_poor"
"Weissella __",0.00285,0.0005737,-2.311,0.125,0.308,0.3371,1,"UC_before_great vs UC_before_poor"
"Bacteroides plebeius",0.00362,0.001914,-0.919,0.312,0.154,0.3501,1,"UC_before_great vs UC_before_poor"
"__ __.4",0.001217,1.474e-05,-6.274,0.188,0.077,0.3607,1,"UC_before_great vs UC_before_poor"
"Faecalibacterium __",4.584e-05,0.0001415,1.605,0.188,0.308,0.381,1,"UC_before_great vs UC_before_poor"
"Streptococcus __",0.003869,0.007074,0.87,0.375,0.462,0.3906,1,"UC_before_great vs UC_before_poor"
"Gemmiger formicilis",0.00583,0.008441,0.534,0.375,0.538,0.4003,1,"UC_before_great vs UC_before_poor"
"Clostridium citroniae",0.003561,0.0007196,-2.305,0.188,0.077,0.4004,1,"UC_before_great vs UC_before_poor"
"unclassified f:Rikenellaceae",0.0003595,0.002133,2.565,0.125,0.231,0.4051,1,"UC_before_great vs UC_before_poor"
"__ __.10",6.451e-05,0,-6.034,0.062,0,0.4054,1,"UC_before_great vs UC_before_poor"
"[Ruminococcus] torques",0.0005949,0,-9.219,0.062,0,0.4054,1,"UC_before_great vs UC_before_poor"
"Lactobacillus salivarius",0.0003518,0.002981,3.079,0.062,0.154,0.4069,1,"UC_before_great vs UC_before_poor"
"unclassified f:Coriobacteriaceae",0.0006599,0.002452,1.892,0.188,0.308,0.4136,1,"UC_before_great vs UC_before_poor"
"Bacteroides fragilis",0.00625,0.002077,-1.589,0.562,0.538,0.4212,1,"UC_before_great vs UC_before_poor"
"Actinomyces",0.01142,0.00649,-0.816,0.688,0.692,0.436,1,"UC_before_great vs UC_before_poor"
"__ __.8",0.0001303,0.0005377,2.037,0.125,0.231,0.4437,1,"UC_before_great vs UC_before_poor"
"Ruminococcus __",0.000124,0.001009,3.014,0.125,0.231,0.4437,1,"UC_before_great vs UC_before_poor"
"Roseburia",0.02748,0.003141,-3.129,0.5,0.385,0.4563,1,"UC_before_great vs UC_before_poor"
"Clostridium neonatale",0.003065,0.0005741,-2.415,0.25,0.154,0.4764,1,"UC_before_great vs UC_before_poor"
"Clostridium __",0.0009049,0.002127,1.232,0.188,0.308,0.4834,1,"UC_before_great vs UC_before_poor"
"Klebsiella __",0.001012,0.002923,1.529,0.125,0.231,0.4843,1,"UC_before_great vs UC_before_poor"
"Bulleidia moorei",0.0001008,0.000165,0.706,0.188,0.077,0.4872,1,"UC_before_great vs UC_before_poor"
"Lactobacillus zeae",0.0004449,0.001787,2.004,0.188,0.077,0.4872,1,"UC_before_great vs UC_before_poor"
"unclassified f:Desulfovibrionaceae",0.0008452,0.001162,0.459,0.25,0.385,0.5038,1,"UC_before_great vs UC_before_poor"
"Sphingomonas yabuuchiae",0.0009795,0.001188,0.278,0.25,0.385,0.5038,1,"UC_before_great vs UC_before_poor"
"Bifidobacterium",0.08072,0.07897,-0.032,0.812,0.923,0.5101,1,"UC_before_great vs UC_before_poor"
"Hydrogenophaga palleronii",0.001782,0.002119,0.25,0.188,0.308,0.5206,1,"UC_before_great vs UC_before_poor"
"Dorea longicatena",0.002346,0.001132,-1.051,0.312,0.231,0.5221,1,"UC_before_great vs UC_before_poor"
"CF231",0.0002388,0.0003068,0.36,0.125,0.231,0.5269,1,"UC_before_great vs UC_before_poor"
"Lactobacillus mucosae",0.001392,0.004312,1.63,0.125,0.231,0.5269,1,"UC_before_great vs UC_before_poor"
"__ __.7",0.007568,0.005842,-0.373,0.438,0.692,0.5349,1,"UC_before_great vs UC_before_poor"
"Veillonella dispar",0.04287,0.01001,-2.099,0.438,0.615,0.5452,1,"UC_before_great vs UC_before_poor"
"Prevotella copri",0.002011,0.02119,3.397,0.312,0.385,0.5521,1,"UC_before_great vs UC_before_poor"
"Ruminococcus bromii",0.001774,0.001519,-0.224,0.188,0.308,0.5592,1,"UC_before_great vs UC_before_poor"
"Acinetobacter rhizosphaerae",0.0007775,0.0005973,-0.38,0.188,0.308,0.5592,1,"UC_before_great vs UC_before_poor"
"Parabacteroides distasonis",0.0086,0.007357,-0.225,0.438,0.615,0.5765,1,"UC_before_great vs UC_before_poor"
"Haemophilus parainfluenzae",0.007639,0.003552,-1.105,0.438,0.308,0.5804,1,"UC_before_great vs UC_before_poor"
"__ __.6",0.1125,0.1162,0.046,1,1,0.589,1,"UC_before_great vs UC_before_poor"
"Dorea formicigenerans",0.00645,0.007302,0.179,0.5,0.538,0.5925,1,"UC_before_great vs UC_before_poor"
"Bilophila",0.001044,0.001089,0.062,0.25,0.154,0.5986,1,"UC_before_great vs UC_before_poor"
"Pseudomonas viridiflava",0.003932,0.004075,0.052,0.375,0.615,0.6199,1,"UC_before_great vs UC_before_poor"
"unclassified f:Erysipelotrichaceae",0.01106,0.01344,0.281,0.5,0.692,0.6329,1,"UC_before_great vs UC_before_poor"
"Rothia mucilaginosa",0.006567,0.005453,-0.268,0.625,0.692,0.6383,1,"UC_before_great vs UC_before_poor"
"Bifidobacterium adolescentis",0.0804,0.03555,-1.178,0.625,0.692,0.6383,1,"UC_before_great vs UC_before_poor"
"Lactobacillus helveticus",0.001564,0.02796,4.159,0.25,0.154,0.6423,1,"UC_before_great vs UC_before_poor"
"Turicibacter",0.0004725,0.0007388,0.644,0.25,0.154,0.6423,1,"UC_before_great vs UC_before_poor"
"unclassified f:Gemellaceae",0.0005358,0.0006642,0.31,0.25,0.154,0.6423,1,"UC_before_great vs UC_before_poor"
"Parabacteroides",0.001151,0.00114,-0.014,0.25,0.154,0.6423,1,"UC_before_great vs UC_before_poor"
"__ __.12",0.0002945,0.001324,2.165,0.188,0.231,0.6423,1,"UC_before_great vs UC_before_poor"
"unclassified o:Streptophyta",0.0004961,4.968e-05,-3.294,0.125,0.077,0.6483,1,"UC_before_great vs UC_before_poor"
"Dialister",0.02237,0.02573,0.202,0.688,0.769,0.6577,1,"UC_before_great vs UC_before_poor"
"Phascolarctobacterium",0.002106,0.004708,1.16,0.25,0.308,0.6763,1,"UC_before_great vs UC_before_poor"
"Blautia obeum",0.001669,0.003256,0.964,0.188,0.231,0.6873,1,"UC_before_great vs UC_before_poor"
"unclassified f:Clostridiaceae",0.001739,0.002146,0.303,0.312,0.385,0.6981,1,"UC_before_great vs UC_before_poor"
"Fusobacterium",0.001717,0.0007661,-1.163,0.125,0.077,0.709,1,"UC_before_great vs UC_before_poor"
"unclassified f:Peptostreptococcaceae",0.0006749,0.0004898,-0.462,0.125,0.077,0.709,1,"UC_before_great vs UC_before_poor"
"Coprococcus eutactus",0.0006015,0.0007042,0.227,0.125,0.077,0.709,1,"UC_before_great vs UC_before_poor"
"[Ruminococcus]",0.007061,0.00551,-0.358,0.438,0.385,0.7129,1,"UC_before_great vs UC_before_poor"
"Clostridium ramosum",0.004081,0.002594,-0.653,0.312,0.231,0.7175,1,"UC_before_great vs UC_before_poor"
"Veillonella __",0.003349,0.004539,0.438,0.312,0.385,0.7368,1,"UC_before_great vs UC_before_poor"
"__ __.1",0.03036,0.02992,-0.021,0.938,0.769,0.7586,1,"UC_before_great vs UC_before_poor"
"Atopobium",0.001523,0.001693,0.153,0.25,0.308,0.7595,1,"UC_before_great vs UC_before_poor"
"Dorea",0.01188,0.01034,-0.2,0.688,0.538,0.7694,1,"UC_before_great vs UC_before_poor"
"Blautia",0.01538,0.01709,0.152,0.75,0.769,0.7741,1,"UC_before_great vs UC_before_poor"
"Lactobacillus",0.008576,0.03246,1.92,0.688,0.846,0.7741,1,"UC_before_great vs UC_before_poor"
"Clostridium spiroforme",0.002199,0.001115,-0.979,0.188,0.154,0.7899,1,"UC_before_great vs UC_before_poor"
"unclassified f:Caulobacteraceae",0.001848,0.001452,-0.348,0.188,0.154,0.7899,1,"UC_before_great vs UC_before_poor"
