feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2810029C07Rik,2810029C07Rik,19.1372,0.0081,0.4067,0.0199,0.9841,1
2810047C21Rik1,2810047C21Rik1,14.2866,0.308,0.3826,0.805,0.4208,1
2810403A07Rik,2810403A07Rik,2247.5496,0.1646,0.1458,1.1292,0.2588,1
2810403D21Rik,2810403D21Rik,47.5623,0.0451,0.2836,0.1589,0.8738,1
2810404M03Rik,2810404M03Rik,2.0895,-0.8,1.0129,-0.7898,0.4296,1
2810405F15Rik,2810405F15Rik,3.2604,0.809,0.8018,1.009,0.313,1
2810408A11Rik,2810408A11Rik,136.147,-0.0049,0.1568,-0.031,0.9752,1
2810408I11Rik,2810408I11Rik,43.0378,-0.113,0.2694,-0.4197,0.6747,1
2810410L24Rik,2810410L24Rik,76.7748,0.0931,0.3183,0.2924,0.77,1
2810417H13Rik,2810417H13Rik,1802.4132,-0.1839,0.2228,-0.8253,0.4092,1
2810428I15Rik,2810428I15Rik,1200.7715,-0.0473,0.1107,-0.4273,0.6692,1
2810433D01Rik,2810433D01Rik,25.3581,0.1548,0.2985,0.5186,0.604,1
2810442N19Rik,2810442N19Rik,1.0371,-1.391,1.6315,-0.8526,0.3939,1
2810454H06Rik,2810454H06Rik,15.0671,0.4413,0.4027,1.0959,0.2731,1
2810468N07Rik,2810468N07Rik,81.6166,-0.0318,0.2302,-0.1382,0.8901,1
2810474O19Rik,2810474O19Rik,834.5868,0.2975,0.1978,1.5045,0.1324,1
2900005J15Rik,2900005J15Rik,2.224,0.9196,0.9664,0.9515,0.3413,1
2900008C10Rik,2900008C10Rik,9.47,-0.0357,0.4407,-0.081,0.9354,1
2900009J06Rik,2900009J06Rik,1.1439,1.6292,1.4669,1.1106,0.2667,1
2900011O08Rik,2900011O08Rik,4.8045,0.1613,0.6895,0.234,0.815,1
2900026A02Rik,2900026A02Rik,2593.8296,-0.1471,0.0832,-1.7685,0.077,1
2900041M22Rik,2900041M22Rik,40.2893,-0.0388,0.2583,-0.1502,0.8806,1
2900057B20Rik,2900057B20Rik,14.5918,-0.5816,0.3917,-1.4849,0.1376,1
2900076A07Rik,2900076A07Rik,90.4391,0.2694,0.1657,1.626,0.104,1
