feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
5430416N02Rik,5430416N02Rik,183.0048,0.2113,0.2841,0.7436,0.4571,0.9134
5430416O09Rik,5430416O09Rik,2.4183,-1.1028,0.8866,-1.2439,0.2135,0.8265
5430419D17Rik,5430419D17Rik,8.769,0.0286,0.5101,0.056,0.9553,0.9953
5430425K12Rik,5430425K12Rik,0.9501,-0.9512,1.4538,-0.6543,0.5129,0.9199
5430427O19Rik,5430427O19Rik,2.6351,-1.0192,1.0942,-0.9315,0.3516,0.8839
5430431A17Rik,5430431A17Rik,48.8282,-0.4385,0.5397,-0.8125,0.4165,0.9035
5530601H04Rik,5530601H04Rik,372.6774,-0.028,0.1056,-0.2655,0.7906,0.97
5730403I07Rik,5730403I07Rik,0.3158,0.6972,2.5723,0.271,0.7864,0.97
5730405O15Rik,5730405O15Rik,8.8097,0.2214,0.4866,0.4551,0.6491,0.9539
5730408K05Rik,5730408K05Rik,12.9578,0.1092,0.5753,0.1898,0.8495,0.9781
5730409E04Rik,5730409E04Rik,335.8769,0.1973,0.1288,1.5315,0.1256,0.7753
5730420D15Rik,5730420D15Rik,4.8042,0.901,0.6572,1.3709,0.1704,0.8059
5730422E09Rik,5730422E09Rik,1.4708,0.3058,1.2736,0.2401,0.8102,0.9736
5730435O14Rik,5730435O14Rik,2.5138,-0.707,0.8544,-0.8275,0.408,0.9033
5730455P16Rik,5730455P16Rik,1426.8944,-0.025,0.1441,-0.1737,0.8621,0.9806
