"sample","Axis1","Axis2","group","method"
"J_XYL_F_0059_02",783.063008142894,374.100771223419,"IBS_after","PCA"
"J_XYL_F_0060_01",-536.691863868653,-959.209726781813,"IBS_before","PCA"
"J_XYL_F_0060_02",2573.63508490659,2637.05169457531,"IBS_after","PCA"
"J_XYL_F_0061_01",2664.97776093802,832.66874096202,"IBS_before","PCA"
"J_XYL_F_0061_02",1267.7614129821,-1384.25624847329,"IBS_after","PCA"
"J_XYL_F_0062_01",1919.60996248717,426.389931956997,"IBS_before","PCA"
"J_XYL_F_0062_02",1874.44389225355,338.700604918346,"IBS_after","PCA"
"J_XYL_F_0064_01",-7838.09546098947,3365.28373908946,"IBS_before","PCA"
"J_XYL_F_0064_02",-3587.46990401683,-74.1576193707592,"IBS_after","PCA"
"J_XYL_F_0065_01",1096.16007684483,1129.39705617659,"IBS_before","PCA"
"J_XYL_F_0065_02",1151.32456645277,710.176932530668,"IBS_after","PCA"
"J_XYL_F_0066_01",-1310.20081452036,-1813.93818344408,"IBS_before","PCA"
"J_XYL_F_0066_02",973.837716045021,-776.973467553874,"IBS_after","PCA"
"K_XYL_F_0001_01",-2242.21384528649,-484.681785280346,"UC_before","PCA"
"K_XYL_F_0001_02",4530.33516277588,9523.09839877566,"UC_after","PCA"
"K_XYL_F_0002_01",-8895.25142539514,3380.74667993364,"UC_before","PCA"
"K_XYL_F_0002_02",736.443546729251,4172.00498012591,"UC_after","PCA"
"K_XYL_F_0003_01",308.937772325504,-2664.57708300185,"UC_before","PCA"
"K_XYL_F_0003_02",-6612.78190524669,1616.71973629074,"UC_after","PCA"
"K_XYL_F_0004_01",-2929.75774166525,83.5156126555019,"UC_before","PCA"
"K_XYL_F_0004_02",-5686.24581235275,4483.70688042828,"UC_after","PCA"
"K_XYL_F_0005_01",105.288439464422,-2312.33966824655,"UC_before","PCA"
"K_XYL_F_0005_02",3588.08846967705,1793.0743399386,"UC_after","PCA"
"K_XYL_F_0007_01",-1076.62759356741,265.660655995308,"UC_before","PCA"
"K_XYL_F_0007_02",-183.553212943212,397.995931953133,"UC_after","PCA"
"K_XYL_F_0008_01",-404.301989867915,-1404.89125169412,"UC_before","PCA"
"K_XYL_F_0008_02",-2281.99099564652,-1194.4680959094,"UC_after","PCA"
"K_XYL_F_0009_01",736.930362765614,-2071.95545280849,"UC_before","PCA"
"K_XYL_F_0009_02",443.680171823524,343.908242324439,"UC_after","PCA"
"K_XYL_F_0009_03",1806.71948747599,-1302.31855949995,"NA","PCA"
"K_XYL_F_0011_01",361.138082922012,-864.787172458091,"UC_before","PCA"
"K_XYL_F_0011_02",1608.00437033386,-594.790504835338,"UC_after","PCA"
"K_XYL_F_0012_01",1576.56929960857,435.201325864857,"UC_before","PCA"
"K_XYL_F_0012_02",1097.8607189366,-4322.54921449659,"UC_after","PCA"
"K_XYL_F_0013_01",-2846.24483656511,-1267.53342541366,"UC_before","PCA"
"K_XYL_F_0013_02",1077.55280009497,-3064.9944213099,"UC_after","PCA"
"K_XYL_F_0017_01",2353.96115567185,3259.98724294995,"UC_before","PCA"
"K_XYL_F_0017_02",-1288.28784359134,1378.46372943381,"UC_after","PCA"
"K_XYL_F_0018_01",1134.02359108221,-488.389739027405,"UC_before","PCA"
"K_XYL_F_0018_02",-150.611642690413,-454.603112043995,"UC_after","PCA"
"K_XYL_F_0022_01",2073.20953215836,-53.0770191839183,"UC_before","PCA"
"K_XYL_F_0022_02",567.667123789114,-4134.57159228247,"UC_after","PCA"
"K_XYL_F_0028_01",538.564266439001,-1982.58557900783,"UC_before","PCA"
"K_XYL_F_0028_02",1672.87702486638,-1021.01325140357,"UC_after","PCA"
"K_XYL_F_0030_02",373.102562929414,-2632.86532829061,"UC_after","PCA"
"K_XYL_F_0030_03",5721.83283189614,4335.85886822936,"UC_before","PCA"
"K_XYL_F_0033_01",2910.81868717869,101.272797578083,"UC_before","PCA"
"K_XYL_F_0033_02",3112.02994993939,1081.53477669631,"UC_after","PCA"
"K_XYL_F_0035_01",1330.32738069988,43.7398456391261,"UC_before","PCA"
"K_XYL_F_0035_02",-785.863856731855,26.9410594717225,"UC_after","PCA"
"K_XYL_F_0035_03",9.8287698501251,-1079.71329797267,"NA","PCA"
"K_XYL_F_0036_01",280.569425052325,374.665884271622,"UC_before","PCA"
"K_XYL_F_0036_02",2208.60497141787,272.392637491797,"UC_after","PCA"
"K_XYL_F_0037_01",603.308746437195,-5002.27186868046,"UC_before","PCA"
"K_XYL_F_0037_02",1378.07273037845,-4506.95983453787,"UC_after","PCA"
"K_XYL_F_0038_01",1046.57207739454,2134.17727861304,"UC_before","PCA"
"K_XYL_F_0038_02",5928.40402632489,7098.31982506113,"UC_after","PCA"
"K_XYL_F_0039_01",1637.07946078064,1142.81307219511,"UC_before","PCA"
"K_XYL_F_0039_02",-4968.29002024599,228.999068008767,"UC_after","PCA"
"K_XYL_F_0042_01",1419.5650994449,-2495.16577693104,"UC_before","PCA"
"K_XYL_F_0042_02",879.079489662577,-3713.15955807342,"UC_after","PCA"
"K_XYL_F_0043_01",3106.03747419793,2903.33954300393,"UC_before","PCA"
"K_XYL_F_0043_02",5433.1423722921,4178.26226155533,"UC_after","PCA"
"K_XYL_F_0044_01",3646.52671266882,2095.400577671,"UC_before","PCA"
"K_XYL_F_0044_02",3720.27959841127,2425.6975214867,"UC_after","PCA"
"K_XYL_F_0045_01",74.2392989777057,-1171.71211240878,"UC_before","PCA"
"K_XYL_F_0045_02",1898.92474568197,1576.83427628993,"UC_after","PCA"
"K_XYL_F_0046_01",95.2920614036557,-1827.72417715311,"UC_before","PCA"
"K_XYL_F_0046_02",1935.63254019505,2151.9753598159,"UC_after","PCA"
"K_XYL_F_0047_01",1221.03762759252,-157.841490452757,"UC_before","PCA"
"K_XYL_F_0047_02",852.536548834739,133.513781192656,"UC_after","PCA"
"K_XYL_F_0048_01",-1835.61799428711,-1273.9994686928,"UC_before","PCA"
"K_XYL_F_0048_02",-43.1386133069527,-1564.46976354026,"UC_after","PCA"
"J_XYL_F_0001_01",-0.534540611911659,0.482761803751292,"IBS_before","NMDS"
"J_XYL_F_0001_02",-0.243982519124589,-0.0714740690986327,"IBS_after","NMDS"
"J_XYL_F_0002_01",0.262835986897917,0.231466026046646,"IBS_before","NMDS"
"J_XYL_F_0002_02",0.361590414278697,0.0396798332711864,"IBS_after","NMDS"
"J_XYL_F_0003_01",0.356262003696903,0.3718225749211,"IBS_before","NMDS"
"J_XYL_F_0003_02",0.316631310204059,-0.101947465668745,"IBS_after","NMDS"
"J_XYL_F_0004_01",0.462776741717417,0.217963598439771,"IBS_before","NMDS"
"J_XYL_F_0004_02",0.243607521083797,0.0196074231878832,"IBS_after","NMDS"
"J_XYL_F_0005_01",0.510967873002735,0.312824914218537,"IBS_before","NMDS"
"J_XYL_F_0005_02",0.343261686069317,0.0812168899741017,"IBS_after","NMDS"
"J_XYL_F_0006_01",-0.0939637519589688,0.787672961919306,"IBS_before","NMDS"
"J_XYL_F_0006_02",-0.333085235886287,0.797645294690627,"IBS_after","NMDS"
"J_XYL_F_0010_01",0.255042453794138,0.243545191817307,"IBS_before","NMDS"
"J_XYL_F_0010_02",0.516266405238888,0.136864759933502,"IBS_after","NMDS"
"J_XYL_F_0012_01",0.296476062257211,-0.461740161094912,"IBS_before","NMDS"
"J_XYL_F_0012_02",0.35299929543967,-0.257807793838631,"IBS_after","NMDS"
"J_XYL_F_0013_01",0.0992483097224343,-0.159058021140573,"IBS_before","NMDS"
"J_XYL_F_0013_02",-0.261970113565376,0.410570837666174,"IBS_after","NMDS"
"J_XYL_F_0015_01",0.0605578879314046,-0.452397561744724,"IBS_before","NMDS"
"J_XYL_F_0015_02",-0.0770929519438026,-0.415371484215097,"IBS_after","NMDS"
"J_XYL_F_0016_01",0.0540399362763329,-0.0230201953304776,"IBS_before","NMDS"
"J_XYL_F_0016_02",-0.35462792997008,-0.129173212528374,"IBS_after","NMDS"
"J_XYL_F_0018_01",0.323426475356363,-0.00465435029286564,"IBS_before","NMDS"
"J_XYL_F_0018_02",0.355084840973434,0.646099223219394,"IBS_after","NMDS"
"J_XYL_F_0020_01",0.467880519658857,0.123547272684428,"IBS_before","NMDS"
"J_XYL_F_0020_02",0.157512754622328,-0.296656062026052,"IBS_after","NMDS"
"J_XYL_F_0025_01",0.488393765294579,0.380712613519125,"IBS_before","NMDS"
"J_XYL_F_0025_02",0.403592654220779,-0.115584584981335,"IBS_after","NMDS"
"J_XYL_F_0031_01",0.00306135578045623,-0.107622276247853,"IBS_before","NMDS"
"J_XYL_F_0031_02",-0.221316913071667,0.185962535715565,"IBS_after","NMDS"
"J_XYL_F_0032_01",0.132180736193776,-0.240330574043458,"IBS_before","NMDS"
"J_XYL_F_0032_02",0.361534047779707,-0.0453789698646963,"IBS_after","NMDS"
"J_XYL_F_0034_01",0.363667103118172,-0.170271537112899,"IBS_before","NMDS"
"J_XYL_F_0034_02",-0.0801753230126846,0.0731064604173701,"IBS_after","NMDS"
"J_XYL_F_0036_01",0.246898318576305,0.0920069204093318,"IBS_before","NMDS"
"J_XYL_F_0036_02",-0.0251379157491234,0.367356883004919,"IBS_after","NMDS"
"J_XYL_F_0043_01",0.301180222813686,-0.0676154012309025,"IBS_before","NMDS"
"J_XYL_F_0043_2",0.193967813432447,0.713108727320645,"IBS_after","NMDS"
"J_XYL_F_0044_01",-0.389987142832107,0.589571137068417,"IBS_before","NMDS"
"J_XYL_F_0044_02",-0.554600582180798,0.388606096747091,"IBS_after","NMDS"
"J_XYL_F_0045_01",-0.559537196507681,0.303440023294358,"IBS_before","NMDS"
"J_XYL_F_0045_2",-0.0964519350339376,0.00789682557550329,"IBS_after","NMDS"
"J_XYL_F_0046_01",0.177435355351921,-0.0250857988973775,"IBS_before","NMDS"
"J_XYL_F_0046_02",0.203744653903349,0.138045469381798,"IBS_after","NMDS"
"J_XYL_F_0047_01",-0.0301453447485603,-0.219001623334728,"IBS_before","NMDS"
"J_XYL_F_0047_02",0.232663669240874,0.327708770115533,"IBS_after","NMDS"
"J_XYL_F_0048_01",-0.463110836653992,0.0219328788268117,"IBS_before","NMDS"
"J_XYL_F_0049_02",0.293081205869226,0.168106401975797,"IBS_after","NMDS"
"J_XYL_F_0050_01",-0.332686683195515,-0.189857703607605,"IBS_before","NMDS"
"J_XYL_F_0050_02",-1.81324866429843,0.334625144135217,"IBS_after","NMDS"
"J_XYL_F_0051_01",-0.742622606063727,-0.0886126614828798,"IBS_before","NMDS"
"J_XYL_F_0051_02",0.539095582378996,0.193059946079005,"IBS_after","NMDS"
"J_XYL_F_0053_01",0.355117823270894,-0.14145890037874,"IBS_before","NMDS"
"J_XYL_F_0053_02",0.249531784783348,0.000862635072093296,"IBS_after","NMDS"
"J_XYL_F_0057_01",-0.907484353620169,0.271711846498792,"IBS_before","NMDS"
"J_XYL_F_0057_02",0.0670048499704373,0.102620508857477,"IBS_after","NMDS"
"J_XYL_F_0058_01",-0.500403377389943,-0.427782744185944,"IBS_before","NMDS"
"J_XYL_F_0058_02",-0.0918238163139072,0.195454234531399,"IBS_after","NMDS"
"J_XYL_F_0059_01",0.0951385428509509,-0.0501832521230991,"IBS_before","NMDS"
