"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"Unc93a","Unc93a",29.4546146071605,1.50637799849905,0.406340128859397,3.70718492098597,0.000209575914194787,0.00534102240194147,"Up"
"Cd200r3","Cd200r3",12.1401271386836,1.50065115071835,0.543406980243553,2.76156031349793,0.00575258903714976,0.0403637507141724,"Up"
"Gm20219","Gm20219",12.3928477595156,1.49625826437099,0.520348158241174,2.87549449474077,0.00403395180226941,0.0321321397533976,"Up"
"Xdh","Xdh",3142.07523178096,1.49210610948088,0.439364083799926,3.39605845014939,0.000683637592237133,0.010533743494054,"Up"
"Ddit3","Ddit3",1273.63486420874,1.48713321693244,0.458352963344064,3.24451533177091,0.0011765068366469,0.0153983312428195,"Up"
"Prl2c5","Prl2c5",11.5538016311563,1.4790063124964,0.537763208952745,2.75029285729059,0.00595420238221818,0.0412427751674979,"Up"
"Itgb2","Itgb2",86.7946419399386,1.47759789891791,0.366280536292295,4.03406065163882,5.48211578315737e-05,0.00247648621682631,"Up"
"Dnajb13","Dnajb13",15.4547681259063,-1.47391703551589,0.525906328048664,-2.80262274269403,0.00506889240626851,0.0370484468243879,"Down"
"Aldh1l2","Aldh1l2",2874.30045744229,1.45882222336812,0.254137477148184,5.74028765744573,9.45158655559440e-09,1.27662579606414e-05,"Up"
"Stra6","Stra6",75.2341102777289,-1.45820324461835,0.337129096013736,-4.32535566303936,1.52285955878084e-05,0.00125422341832029,"Down"
"Dmp1","Dmp1",135.336231917466,-1.45401641434922,0.420295402056335,-3.45951063760227,0.000541157901263206,0.00927591341670321,"Down"
"Dcn","Dcn",3893.73878712189,1.45341286907419,0.241562344653356,6.0167194980652,1.77987102906382e-09,4.80814359791301e-06,"Up"
"Fetub","Fetub",314.833482767358,1.43941392381868,0.463451888993908,3.1058540444046,0.00189730339979421,0.0202904806183851,"Up"
"Mest","Mest",2235.89481411951,-1.43490439231874,0.246470490731027,-5.82181010011722,5.8213672136449e-09,1.03420428333968e-05,"Down"
"Tmem154","Tmem154",179.344308369463,1.43470139675646,0.325730523357702,4.40456541182337,1.05996155004942e-05,0.00106557442815755,"Up"
"Atf3","Atf3",277.652473843184,1.42791037940988,0.304354393230232,4.69160429805173,2.71071023054436e-06,0.000494777879513008,"Up"
"Mfap4","Mfap4",62.3640573790693,-1.42552688817681,0.47464715570046,-3.00334020978823,0.00267033735518498,0.024995319928263,"Down"
"Otoa","Otoa",21.6692625142264,-1.42383586289646,0.461160214405744,-3.0875080252342,0.00201842321645305,0.0209070877182756,"Down"
"Camp","Camp",90.6757543471779,1.40999882705107,0.339447134552561,4.15380977927432,3.26985029008312e-05,0.00186741379844182,"Up"
"Bfsp2","Bfsp2",10.9585572655297,-1.40164847670617,0.467564453774197,-2.99776526079349,0.00271967064487143,0.0251951930043062,"Down"
"Oit3","Oit3",18.9169892182195,1.39455570461748,0.483594818625036,2.88372755643351,0.00392998593418779,0.0317091862629297,"Up"
"Gm14023","Gm14023",11.5752093028548,1.39354420446391,0.470646113874088,2.9609172654015,0.00306724322078588,0.0270425941143308,"Up"
"Tnfrsf26","Tnfrsf26",10.9812603378378,1.38149340307824,0.487783604335437,2.83218499104824,0.00462310935117673,0.0351403140159506,"Up"
"Apln","Apln",2030.10570053827,1.38105896741805,0.435302213059266,3.17264402979274,0.00151057611484822,0.0176499581170025,"Up"
"4930558J18Rik","4930558J18Rik",21.5331027713692,-1.37334353699891,0.429418923327562,-3.19814396244322,0.00138315211855516,0.0169530269195323,"Down"
"Ptx3","Ptx3",1189.72500270002,1.3691883470144,0.400354431021165,3.41994053499566,0.000626348257553597,0.0100444221060581,"Up"
"Spc24","Spc24",606.986970732208,-1.36771720360576,0.466533308413229,-2.93166035295021,0.00337155258385566,0.0286232311440216,"Down"
"F13a1","F13a1",32.6560457832241,1.36665879756772,0.353524805702728,3.86580736492057,0.000110722307734958,0.00367451157389699,"Up"
"Trim66","Trim66",66.9991696815145,-1.3606087591432,0.455363321383887,-2.98796300722728,0.00280843545023822,0.0256510058729373,"Down"
"Mt1","Mt1",10034.9460619334,1.36000117865113,0.377496249819297,3.60268791889229,0.000314943562886466,0.00667808901712322,"Up"
