"sample","Axis1","Axis2","group","method"
"K_XYL_F_0037_01",-0.00972395195494236,-0.46881134715097,"UC_before","PCoA"
"K_XYL_F_0037_02",0.0712019508126529,-0.388517482472822,"UC_after","PCoA"
"K_XYL_F_0038_01",0.0654424007231076,0.194056822084297,"UC_before","PCoA"
"K_XYL_F_0038_02",0.217329285708768,0.194539279036295,"UC_after","PCoA"
"K_XYL_F_0039_01",0.14246493568547,0.117523414205285,"UC_before","PCoA"
"K_XYL_F_0039_02",-0.438242274645864,0.115869790672899,"UC_after","PCoA"
"K_XYL_F_0042_01",0.144516686266925,-0.264019952705437,"UC_before","PCoA"
"K_XYL_F_0042_02",0.030129126430001,-0.400356062667359,"UC_after","PCoA"
"K_XYL_F_0043_01",0.227445311489951,0.146301752482766,"UC_before","PCoA"
"K_XYL_F_0043_02",0.328370450401279,0.166305504588676,"UC_after","PCoA"
"K_XYL_F_0044_01",0.304878900860658,0.114596498654354,"UC_before","PCoA"
"K_XYL_F_0044_02",0.297248393702324,0.110559714037859,"UC_after","PCoA"
"K_XYL_F_0045_01",0.0298661460551809,-0.102998030987781,"UC_before","PCoA"
"K_XYL_F_0045_02",0.176552327909272,0.126664389549301,"UC_after","PCoA"
"K_XYL_F_0046_01",0.0222508882393758,-0.170059830810836,"UC_before","PCoA"
"K_XYL_F_0046_02",0.155241101829829,0.161641689650116,"UC_after","PCoA"
"K_XYL_F_0047_01",0.121854374768181,0.00933166298676491,"UC_before","PCoA"
"K_XYL_F_0047_02",0.101996397035616,0.0357624036281706,"UC_after","PCoA"
"K_XYL_F_0048_01",-0.202488481573623,-0.0657348817818855,"UC_before","PCoA"
"K_XYL_F_0048_02",-0.0550955948601515,-0.104657435707292,"UC_after","PCoA"
"J_XYL_F_0001_01",-2193.28954266425,-1443.22754792154,"IBS_before","PCA"
"J_XYL_F_0001_02",-5722.23061809442,3808.20508869308,"IBS_after","PCA"
"J_XYL_F_0002_01",788.922208716948,-705.705046203161,"IBS_before","PCA"
"J_XYL_F_0002_02",1713.93217114385,772.461796496761,"IBS_after","PCA"
"J_XYL_F_0003_01",596.504566973408,-1185.41375409211,"IBS_before","PCA"
"J_XYL_F_0003_02",694.525645697848,-4558.10052393447,"IBS_after","PCA"
"J_XYL_F_0004_01",1628.35273462899,128.93331122313,"IBS_before","PCA"
"J_XYL_F_0004_02",1637.23788945312,-217.314614645789,"IBS_after","PCA"
"J_XYL_F_0005_01",1086.23481518428,-1747.02270807054,"IBS_before","PCA"
"J_XYL_F_0005_02",-703.063049117251,-25.1896960627432,"IBS_after","PCA"
"J_XYL_F_0006_01",1189.21016098806,196.11303519409,"IBS_before","PCA"
"J_XYL_F_0006_02",-69.8024627138342,-2289.00111974634,"IBS_after","PCA"
"J_XYL_F_0010_01",326.219196452881,1347.31162037657,"IBS_before","PCA"
"J_XYL_F_0010_02",3131.47829872931,2666.12897098242,"IBS_after","PCA"
"J_XYL_F_0012_01",56.0433312636907,-5556.6445333926,"IBS_before","PCA"
"J_XYL_F_0012_02",352.837563807496,-6035.9150197599,"IBS_after","PCA"
"J_XYL_F_0013_01",1257.87453845666,312.747654351808,"IBS_before","PCA"
"J_XYL_F_0013_02",2906.52040321821,3163.71718871337,"IBS_after","PCA"
"J_XYL_F_0015_01",-1141.66343702906,-1261.73807427545,"IBS_before","PCA"
"J_XYL_F_0015_02",107.763385858744,-2864.28964500909,"IBS_after","PCA"
"J_XYL_F_0016_01",-1709.23433833512,-1391.89694224965,"IBS_before","PCA"
"J_XYL_F_0016_02",-55.755184160641,-1468.59953355992,"IBS_after","PCA"
"J_XYL_F_0018_01",1467.29971420849,1167.09473431686,"IBS_before","PCA"
"J_XYL_F_0018_02",643.513659047318,-3226.08141374522,"IBS_after","PCA"
"J_XYL_F_0020_01",2146.19379123977,1322.52578594958,"IBS_before","PCA"
"J_XYL_F_0020_02",-1007.66520830904,-1597.43423340798,"IBS_after","PCA"
"J_XYL_F_0025_01",-1189.37585556497,-1030.79330947844,"IBS_before","PCA"
"J_XYL_F_0025_02",-1040.49458911821,732.272688775281,"IBS_after","PCA"
"J_XYL_F_0031_01",3232.07554590023,2853.13805733983,"IBS_before","PCA"
"J_XYL_F_0031_02",1648.89963225338,1122.67903084264,"IBS_after","PCA"
"J_XYL_F_0032_01",45.5055976665796,-2001.83070287658,"IBS_before","PCA"
"J_XYL_F_0032_02",558.183950061159,-47.337311413558,"IBS_after","PCA"
"J_XYL_F_0034_01",-466.996172894604,994.294248084442,"IBS_before","PCA"
"J_XYL_F_0034_02",-5020.00005789908,1675.23417714321,"IBS_after","PCA"
"J_XYL_F_0036_01",-271.923112827922,-642.23579311781,"IBS_before","PCA"
"J_XYL_F_0036_02",14.8217692332767,-2216.89007091311,"IBS_after","PCA"
"J_XYL_F_0043_01",984.812245477804,1923.25431547728,"IBS_before","PCA"
"J_XYL_F_0043_2",-120.608413339393,-2202.84610604339,"IBS_after","PCA"
"J_XYL_F_0044_01",614.85450976948,492.333908297017,"IBS_before","PCA"
"J_XYL_F_0044_02",-755.253270799793,-223.404889784323,"IBS_after","PCA"
"J_XYL_F_0045_01",-7068.39492670144,1255.30670212899,"IBS_before","PCA"
"J_XYL_F_0045_2",-11358.5283881246,3882.79321784243,"IBS_after","PCA"
"J_XYL_F_0046_01",801.221998175007,-458.126819890049,"IBS_before","PCA"
"J_XYL_F_0046_02",-548.327031132313,1175.00119816204,"IBS_after","PCA"
"J_XYL_F_0047_01",-1672.57398650407,2086.96849723337,"IBS_before","PCA"
"J_XYL_F_0047_02",-114.689666442723,366.777210479714,"IBS_after","PCA"
"J_XYL_F_0048_01",-6824.36311622697,1038.7502652861,"IBS_before","PCA"
"J_XYL_F_0049_02",-973.812301720066,48.5128575224241,"IBS_after","PCA"
"J_XYL_F_0050_01",-6151.72636120818,1825.53761472502,"IBS_before","PCA"
"J_XYL_F_0050_02",-1043.95965466451,-3606.65597256943,"IBS_after","PCA"
"J_XYL_F_0051_01",-5815.48055434912,2205.54088998235,"IBS_before","PCA"
"J_XYL_F_0051_02",1671.84083295887,-1325.77608595507,"IBS_after","PCA"
"J_XYL_F_0053_01",895.264564823291,-219.748386819193,"IBS_before","PCA"
"J_XYL_F_0053_02",837.421857379604,-1593.03745427353,"IBS_after","PCA"
"J_XYL_F_0057_01",-1987.49352521868,-1002.87149041085,"IBS_before","PCA"
"J_XYL_F_0057_02",-545.292989032054,-328.282698358615,"IBS_after","PCA"
"J_XYL_F_0058_01",-4153.7843845395,528.675876318658,"IBS_before","PCA"
"J_XYL_F_0058_02",444.71501667556,-234.138467908218,"IBS_after","PCA"
"J_XYL_F_0059_01",1035.82137298588,-323.253666604767,"IBS_before","PCA"
"J_XYL_F_0059_02",799.380554566155,349.616736552354,"IBS_after","PCA"
"J_XYL_F_0060_01",-527.889849126152,-971.006190601001,"IBS_before","PCA"
"J_XYL_F_0060_02",2608.09810216034,2598.07026476924,"IBS_after","PCA"
"J_XYL_F_0061_01",2686.58499363658,794.494772435489,"IBS_before","PCA"
"J_XYL_F_0061_02",1273.60121216853,-1410.22883922756,"IBS_after","PCA"
"J_XYL_F_0062_01",1936.67212610568,392.42623761243,"IBS_before","PCA"
"J_XYL_F_0062_02",1890.944386576,305.11929176529,"IBS_after","PCA"
"J_XYL_F_0064_01",-7799.94211598029,3407.07538888739,"IBS_before","PCA"
"J_XYL_F_0064_02",-3573.4524731591,-63.447245479995,"IBS_after","PCA"
"J_XYL_F_0065_01",1117.02880283905,1101.09729857778,"IBS_before","PCA"
"J_XYL_F_0065_02",1171.59002596417,682.848606456657,"IBS_after","PCA"
"J_XYL_F_0066_01",-1308.02863654573,-1819.90569645251,"IBS_before","PCA"
"J_XYL_F_0066_02",987.669347023975,-807.71737298161,"IBS_after","PCA"
"K_XYL_F_0001_01",-2230.32987890545,-484.134535386958,"UC_before","PCA"
"K_XYL_F_0001_02",4613.77078548021,9464.50033529015,"UC_after","PCA"
"K_XYL_F_0002_01",-8856.98897436641,3430.97850438173,"UC_before","PCA"
"K_XYL_F_0002_02",781.489202149908,4146.38920057252,"UC_after","PCA"
"K_XYL_F_0003_01",305.744503775714,-2683.72960025278,"UC_before","PCA"
"K_XYL_F_0003_02",-6587.48311987633,1649.98547497297,"UC_after","PCA"
"K_XYL_F_0004_01",-2914.1218602372,88.9728287348852,"UC_before","PCA"
"K_XYL_F_0004_02",-5639.48351191688,4508.6224269935,"UC_after","PCA"
"K_XYL_F_0005_01",104.196498018363,-2329.22808964928,"UC_before","PCA"
"K_XYL_F_0005_02",3616.53156891912,1746.70098806279,"UC_after","PCA"
"K_XYL_F_0007_01",-1059.5788097775,256.631954189923,"UC_before","PCA"
"K_XYL_F_0007_02",-166.721709051736,382.258559580713,"UC_after","PCA"
"K_XYL_F_0008_01",-399.20211593227,-1419.18573163889,"UC_before","PCA"
"K_XYL_F_0008_02",-2275.9426114182,-1194.40070392772,"UC_after","PCA"
"K_XYL_F_0009_01",736.799000545698,-2094.59248775281,"UC_before","PCA"
"K_XYL_F_0009_02",460.450328359468,322.393799308118,"UC_after","PCA"
"K_XYL_F_0011_01",369.937742219677,-884.656880197183,"UC_before","PCA"
"K_XYL_F_0011_02",1618.27691771256,-625.17870441175,"UC_after","PCA"
"K_XYL_F_0012_01",1594.20286046915,404.870923176924,"UC_before","PCA"
"K_XYL_F_0012_02",1068.37341239896,-4354.59532844278,"UC_after","PCA"
"K_XYL_F_0013_01",-2840.3317032386,-1262.02252230374,"UC_before","PCA"
"K_XYL_F_0013_02",1061.04737279288,-3095.46083061781,"UC_after","PCA"
"K_XYL_F_0017_01",2392.36245700161,3222.09887601867,"UC_before","PCA"
"K_XYL_F_0017_02",-1263.20445024072,1370.22777776639,"UC_after","PCA"
"K_XYL_F_0018_01",1144.66613539013,-514.766297205657,"UC_before","PCA"
"K_XYL_F_0018_02",-138.430329769203,-470.597955582903,"UC_after","PCA"
"K_XYL_F_0022_01",2088.54454387281,-86.7294009930509,"UC_before","PCA"
"K_XYL_F_0022_02",541.562856981802,-4160.73860007521,"UC_after","PCA"
"K_XYL_F_0028_01",540.695674061841,-2000.89347800804,"UC_before","PCA"
"K_XYL_F_0028_02",1681.2157282642,-1050.85701455422,"UC_after","PCA"
"K_XYL_F_0030_02",368.36704972332,-2651.34815750961,"UC_after","PCA"
"K_XYL_F_0030_03",5768.45845923396,4271.24217961615,"UC_before","PCA"
"K_XYL_F_0033_01",2924.03508806831,59.2675978246126,"UC_before","PCA"
"K_XYL_F_0033_02",3131.09786684894,1036.36975506676,"UC_after","PCA"
"K_XYL_F_0035_01",1344.89416040434,16.1481399889422,"UC_before","PCA"
"K_XYL_F_0035_02",-770.977251952147,15.6681267078781,"UC_after","PCA"
"K_XYL_F_0036_01",298.256464517711,354.635218922794,"UC_before","PCA"
"K_XYL_F_0036_02",2225.07515482343,237.755366123028,"UC_after","PCA"
"K_XYL_F_0037_01",571.650882850181,-5028.32814168223,"UC_before","PCA"
"K_XYL_F_0037_02",1348.70671183655,-4540.12049013207,"UC_after","PCA"
"K_XYL_F_0038_01",1077.54520679408,2108.26812042307,"UC_before","PCA"
"K_XYL_F_0038_02",5994.63827978839,7030.24333811441,"UC_after","PCA"
"K_XYL_F_0039_01",1660.36092535026,1111.81329967624,"UC_before","PCA"
"K_XYL_F_0039_02",-4952.0012284568,250.345331299993,"UC_after","PCA"
"K_XYL_F_0042_01",1410.5029830289,-2525.7316167578,"UC_before","PCA"
"K_XYL_F_0042_02",860.545309190079,-3739.70478303152,"UC_after","PCA"
"K_XYL_F_0043_01",3142.11239979706,2859.92168210372,"UC_before","PCA"
"K_XYL_F_0043_02",5478.58865914022,4115.86237099473,"UC_after","PCA"
"K_XYL_F_0044_01",3676.65953223784,2048.27722049592,"UC_before","PCA"
"K_XYL_F_0044_02",3752.3995094447,2377.77988922931,"UC_after","PCA"
"K_XYL_F_0045_01",75.4175839483553,-1191.76568944941,"UC_before","PCA"
"K_XYL_F_0045_02",1924.46906961115,1544.03220920187,"UC_after","PCA"
"K_XYL_F_0046_01",91.3266408700636,-1847.71442386467,"UC_before","PCA"
"K_XYL_F_0046_02",1965.48357680208,2118.6639009572,"UC_after","PCA"
"K_XYL_F_0047_01",1234.95043478437,-184.993791017812,"UC_before","PCA"
"K_XYL_F_0047_02",867.978415873132,109.535822399199,"UC_after","PCA"
"K_XYL_F_0048_01",-1832.46736298584,-1279.05190205201,"UC_before","PCA"
"K_XYL_F_0048_02",-38.7002811827877,-1579.88362345616,"UC_after","PCA"
"J_XYL_F_0001_01",-0.559337139441443,0.443606711786868,"IBS_before","NMDS"
"J_XYL_F_0001_02",-0.0419907610446887,-0.38914285559034,"IBS_after","NMDS"
"J_XYL_F_0002_01",0.291480522077669,0.192079101990919,"IBS_before","NMDS"
"J_XYL_F_0002_02",0.300666954498977,0.157715013455181,"IBS_after","NMDS"
"J_XYL_F_0003_01",0.403013232791391,0.341010200502827,"IBS_before","NMDS"
"J_XYL_F_0003_02",0.337639036318339,-0.129634642034163,"IBS_after","NMDS"
"J_XYL_F_0004_01",0.503598285767932,0.154237402008301,"IBS_before","NMDS"
"J_XYL_F_0004_02",0.275804613044598,-0.0631754432055503,"IBS_after","NMDS"
"J_XYL_F_0005_01",0.548434833865541,0.253290213194732,"IBS_before","NMDS"
"J_XYL_F_0005_02",0.392462608420431,-0.00107915941781972,"IBS_after","NMDS"
"J_XYL_F_0006_01",-0.0517469280287056,0.767947887625505,"IBS_before","NMDS"
"J_XYL_F_0006_02",-0.322135771271694,0.799291057913472,"IBS_after","NMDS"
"J_XYL_F_0010_01",0.270411021358479,0.205016834791398,"IBS_before","NMDS"
"J_XYL_F_0010_02",0.501682641724186,0.170243434975951,"IBS_after","NMDS"
"J_XYL_F_0012_01",-0.0306443486660961,0.373427083618672,"IBS_before","NMDS"
"J_XYL_F_0012_02",0.328524574735985,-0.358586515216843,"IBS_after","NMDS"
"J_XYL_F_0013_01",0.0373034930969081,-0.0520295026242773,"IBS_before","NMDS"
"J_XYL_F_0013_02",-0.250834513841969,0.385213990965781,"IBS_after","NMDS"
"J_XYL_F_0015_01",0.0761731985402238,-0.510467273442395,"IBS_before","NMDS"
"J_XYL_F_0015_02",-0.103771296230885,-0.419814437168031,"IBS_after","NMDS"
"J_XYL_F_0016_01",0.0898484660498604,-0.0901014208746035,"IBS_before","NMDS"
"J_XYL_F_0016_02",-0.326177494844236,-0.170982086099203,"IBS_after","NMDS"
"J_XYL_F_0018_01",0.355882904737084,-0.0923992322065992,"IBS_before","NMDS"
"J_XYL_F_0018_02",0.260142153181206,0.677721277526715,"IBS_after","NMDS"
"J_XYL_F_0020_01",0.4260713235278,0.199524119993406,"IBS_before","NMDS"
"J_XYL_F_0020_02",0.221250025031674,-0.393115540925211,"IBS_after","NMDS"
"J_XYL_F_0025_01",0.608199317072463,0.194995921944095,"IBS_before","NMDS"
"J_XYL_F_0025_02",0.444437395953685,-0.188130724888937,"IBS_after","NMDS"
"J_XYL_F_0031_01",0.124284722989271,-0.272346633072062,"IBS_before","NMDS"
"J_XYL_F_0031_02",-0.199039195557936,0.0524094353033326,"IBS_after","NMDS"
"J_XYL_F_0032_01",0.110766865575716,-0.167714049295991,"IBS_before","NMDS"
"J_XYL_F_0032_02",0.388516573130589,-0.0562882846100538,"IBS_after","NMDS"
"J_XYL_F_0034_01",0.357691768618015,-0.238450764824309,"IBS_before","NMDS"
"J_XYL_F_0034_02",0.0756091418695318,-0.305645477554402,"IBS_after","NMDS"
"J_XYL_F_0036_01",0.339603590819902,-0.115451586985585,"IBS_before","NMDS"
"J_XYL_F_0036_02",0.193263640385855,-0.461605579758059,"IBS_after","NMDS"
"J_XYL_F_0043_01",0.408866311444422,-0.162918068298299,"IBS_before","NMDS"
"J_XYL_F_0043_2",0.414175733516445,0.645382640059152,"IBS_after","NMDS"
"J_XYL_F_0044_01",-0.399254745989359,0.584877037142067,"IBS_before","NMDS"
"J_XYL_F_0044_02",-0.663185828093183,0.0856579363605771,"IBS_after","NMDS"
"J_XYL_F_0045_01",-0.50013972748385,0.497112555455169,"IBS_before","NMDS"
